label,precision,recall,f1-score,support
Apple___Apple_scab,0.9166666666666666,0.6984126984126984,0.7927927927927928,63.0
Apple___Black_rot,0.6781609195402298,0.9516129032258065,0.7919463087248322,62.0
Apple___Cedar_apple_rust,0.7666666666666667,0.8518518518518519,0.8070175438596491,27.0
Apple___healthy,0.9254658385093167,0.9085365853658537,0.916923076923077,164.0
Blueberry___healthy,0.918918918918919,0.9066666666666666,0.912751677852349,150.0
Cherry_(including_sour)___Powdery_mildew,0.9345794392523364,0.9523809523809523,0.9433962264150944,105.0
Cherry_(including_sour)___healthy,0.8367346938775511,0.9647058823529412,0.8961748633879781,85.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5402298850574713,0.9215686274509803,0.6811594202898551,51.0
Corn_(maize)___Common_rust_,0.9915966386554622,0.9915966386554622,0.9915966386554622,119.0
Corn_(maize)___Northern_Leaf_Blight,0.9393939393939394,0.6262626262626263,0.7515151515151515,99.0
Corn_(maize)___healthy,0.9827586206896551,0.9827586206896551,0.9827586206896551,116.0
Grape___Black_rot,0.954954954954955,0.8983050847457628,0.925764192139738,118.0
Grape___Esca_(Black_Measles),0.9444444444444444,0.9855072463768116,0.9645390070921985,138.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.856,0.9907407407407407,0.9184549356223176,108.0
Grape___healthy,0.8913043478260869,0.9761904761904762,0.9318181818181818,42.0
Orange___Haunglongbing_(Citrus_greening),0.9869888475836431,0.9637023593466425,0.9752066115702479,551.0
Peach___Bacterial_spot,0.9720670391061452,0.7565217391304347,0.8508557457212714,230.0
Peach___healthy,0.7291666666666666,0.9722222222222222,0.8333333333333334,36.0
"Pepper,_bell___Bacterial_spot",0.593103448275862,0.86,0.7020408163265306,100.0
"Pepper,_bell___healthy",0.9436619718309859,0.9054054054054054,0.9241379310344827,148.0
Potato___Early_blight,0.8823529411764706,0.9,0.8910891089108911,100.0
Potato___Late_blight,0.7064220183486238,0.77,0.7368421052631579,100.0
Potato___healthy,0.15476190476190477,0.8666666666666667,0.26262626262626265,15.0
Raspberry___healthy,0.9705882352941176,0.8918918918918919,0.9295774647887324,37.0
Soybean___healthy,0.957983193277311,0.8958742632612967,0.9258883248730965,509.0
Squash___Powdery_mildew,0.9943181818181818,0.9510869565217391,0.9722222222222222,184.0
Strawberry___Leaf_scorch,0.8403361344537815,0.9009009009009009,0.8695652173913043,111.0
Strawberry___healthy,0.8846153846153846,1.0,0.9387755102040817,46.0
Tomato___Bacterial_spot,0.7584541062801933,0.7370892018779343,0.7476190476190476,213.0
Tomato___Early_blight,0.6944444444444444,0.25,0.36764705882352944,100.0
Tomato___Late_blight,0.7948717948717948,0.6526315789473685,0.7167630057803468,190.0
Tomato___Leaf_Mold,0.543046357615894,0.8631578947368421,0.6666666666666666,95.0
Tomato___Septoria_leaf_spot,0.6911764705882353,0.5310734463276836,0.6006389776357828,177.0
Tomato___Spider_mites Two-spotted_spider_mite,0.7196969696969697,0.5654761904761905,0.6333333333333333,168.0
Tomato___Target_Spot,0.4792626728110599,0.7428571428571429,0.5826330532212886,140.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9838383838383838,0.9085820895522388,0.944713870029098,536.0
Tomato___Tomato_mosaic_virus,0.782608695652174,0.4864864864864865,0.6,37.0
Tomato___healthy,0.7374301675977654,0.8301886792452831,0.7810650887573964,159.0
